Weight Count,Memory Consumption (Weight),Window Size,Memory Consumption (Window),Data Length,Memory Consumption (Length)
1,252.1328125,5,315.77734375,200,223.88671875
1,252.1328125,6,315.77734375,259,229.703125
1,252.1328125,7,315.77734375,335,236.09765625
2,255.1640625,9,315.77734375,434,243.66015625
3,257.59375,12,315.77734375,563,251.625
4,260.0703125,15,315.77734375,729,262.30859375
5,263.01171875,18,315.77734375,945,273.8984375
7,265.56640625,23,316.07421875,1225,290.33203125
10,269.203125,29,317.0546875,1587,310.33984375
13,273.890625,36,319.05859375,2056,333.1015625
17,275.765625,45,320.67578125,2664,364.15234375
23,278.7890625,56,321.609375,3451,401.9609375
31,281.453125,70,324.01953125,4472,451.765625
42,285.5625,88,326.13671875,5793,514.890625
56,290.51953125,109,328.8203125,7506,596.55859375
74,296.48828125,137,332.27734375,9724,703.25
100,303.08203125,170,337.2734375,12599,717.359375
133,311.125,213,343.609375,16323,717.7421875
177,322.46875,265,352.05859375,21147,1188.0078125
237,336.73828125,331,363.57421875,27397,1190.2734375
316,354.21875,413,378.734375,35495,1658.5234375
421,376.18359375,515,398.890625,45986,2003.890625
562,405.32421875,643,425.953125,59577,2458.23046875
749,443.4296875,801,461.83984375,77186,3396.2734375
1000,493.9140625,1000,510.015625,100000,4798.97265625
